male,age,edu,inc,union,lrscale
1,21,4,6,1,7
1,23,2,8,1,8
1,42,6,9,1,8
1,48,3,8,0,7
1,50,6,8,1,7
1,69,1,4,0,5
0,37,3,5,1,3
0,43,3,7,1,7
0,16,2,7,0,6
1,55,2,10,1,2
1,29,2,6,1,6
1,49,7,10,0,4
0,68,2,7,0,8
1,33,2,9,1,9
0,82,6,4,0,6
0,43,7,10,1,7
0,51,7,7,0,4
0,51,5,8,1,4
0,50,6,10,1,7
1,44,3,2,1,5
1,24,4,3,0,5
0,32,6,6,1,3
1,40,3,8,0,8
1,51,3,4,1,5
0,29,7,7,1,4
1,76,3,5,0,6
1,37,3,5,1,3
1,23,6,1,1,5
1,25,4,3,0,7
1,81,6,5,1,5
0,62,3,2,0,5
0,47,7,7,1,3
1,21,4,1,1,7
1,31,3,3,1,3
0,59,3,6,1,6
1,41,3,9,1,3
0,73,3,1,1,10
1,51,3,6,1,7
1,59,3,6,1,7
1,29,2,5,1,8
1,30,3,8,1,6
0,50,6,10,1,5
1,50,7,10,1,5
0,51,6,7,1,7
0,41,6,9,1,5
1,20,4,2,0,4
0,57,3,8,1,4
0,28,4,5,1,2
0,46,7,9,1,4
0,37,6,7,1,0
0,66,6,7,0,3
1,24,2,1,0,5
1,33,4,1,0,7
1,62,3,7,1,8
0,70,6,3,0,4
1,30,5,5,1,8
1,35,7,10,1,5
1,65,1,1,1,2
0,33,6,7,1,5
